Order ID,Client ID,Order Date,Ship Mode,Segment,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2015-150630,C00000627,08 September 2019,Standard Class,Consumer,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
US-2015-150631,C00000477,24 September 2019,First Class,Consumer,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,100.24,10,0.2,33.831
US-2015-150632,C00000822,09 May 2020,First Class,Home Office,TEC-PH-10001924,Technology,Phones,iHome FM Clock Radio with Lightning Dock,279.96,5,0.2,17.4975
US-2015-150633,C00001024,13 May 2022,Standard Class,Corporate,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,19.936,4,0.2,7.2268
US-2015-150634,C00000967,22 October 2022,Standard Class,Corporate,FUR-TA-10001676,Furniture,Tables,Hon 61000 Series Interactive Training Tables,66.645,3,0.5,-42.6528
US-2015-150635,C00000085,21 September 2020,Second Class,Home Office,TEC-AC-10000580,Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display,239.97,3,0,26.3967
US-2015-150636,C00000652,03 June 2019,Standard Class,Consumer,OFF-PA-10004888,Office Supplies,Paper,Xerox 217,15.552,3,0.2,5.4432
US-2015-150637,C00000624,21 May 2021,First Class,Consumer,OFF-PA-10002464,Office Supplies,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),23.12,4,0,11.3288
US-2015-150638,C00000699,01 March 2023,Standard Class,Consumer,OFF-AR-10002255,Office Supplies,Art,Newell 346,8.64,3,0,2.5056
US-2015-150639,C00000962,01 August 2021,Standard Class,Home Office,TEC-PH-10004908,Technology,Phones,Panasonic KX TS3282W Corded phone,67.992,1,0.2,8.499
US-2015-150640,C00000874,26 May 2019,Standard Class,Consumer,TEC-MA-10002428,Technology,Machines,Fellowes Powershred HS-440 4-Sheet High Security Shredder,464.97,3,0,209.2365
US-2015-150641,C00000321,20 April 2020,Standard Class,Consumer,TEC-PH-10001619,Technology,Phones,LG G3,587.97,3,0,170.5113
US-2015-150642,C00001001,29 January 2022,Standard Class,Corporate,FUR-TA-10004152,Furniture,Tables,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",241.92,4,0.4,-56.448
US-2015-150643,C00000010,18 July 2022,First Class,Home Office,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",46.53,3,0,12.0978
US-2015-150644,C00000962,15 May 2020,Second Class,Corporate,OFF-AP-10002222,Office Supplies,Appliances,Staple holder,20.808,3,0.2,1.8207
US-2015-150645,C00000152,21 July 2019,Standard Class,Consumer,OFF-ST-10001932,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,772.68,4,0,108.1752
US-2015-150646,C00000873,28 May 2021,Standard Class,Home Office,OFF-LA-10004093,Office Supplies,Labels,Avery 486,11.696,2,0.2,3.9474
US-2015-150647,C00000255,17 November 2019,Standard Class,Consumer,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",17.64,4,0,8.1144
US-2015-150648,C00000504,04 March 2023,Standard Class,Consumer,FUR-FU-10000409,Furniture,Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",59.92,4,0,27.5632
US-2015-150649,C00000686,02 November 2021,Standard Class,Consumer,OFF-BI-10000138,Office Supplies,Binders,Acco Translucent Poly Ring Binders,18.72,5,0.2,6.552
US-2015-150650,C00000503,07 June 2019,Standard Class,Consumer,OFF-BI-10004826,Office Supplies,Binders,JM Magazine Binder,33.02,2,0,15.8496
US-2015-150651,C00000428,08 December 2020,Standard Class,Home Office,OFF-AR-10004757,Office Supplies,Art,Crayola Colored Pencils,13.12,5,0.2,2.132
US-2015-150652,C00000203,18 April 2021,Standard Class,Home Office,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,6.24,2,0,3.0576
US-2015-150653,C00000558,13 May 2021,First Class,Home Office,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,604.768,4,0.2,60.4768
US-2015-150654,C00000764,30 January 2022,First Class,Consumer,FUR-FU-10004665,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",273.96,2,0,71.2296
US-2015-150655,C00000208,29 March 2022,Standard Class,Corporate,TEC-PH-10002262,Technology,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,107.118,3,0.4,-21.4236
US-2015-150656,C00000632,23 September 2020,Standard Class,Consumer,FUR-FU-10001037,Furniture,Furnishings,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",22.752,3,0.2,7.11
US-2015-150657,C00000437,16 February 2021,Standard Class,Consumer,OFF-AP-10000696,Office Supplies,Appliances,Holmes Odor Grabber,8.652,3,0.8,-20.3322
US-2015-150658,C00000970,15 August 2021,Same Day,Consumer,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1090.782,7,0.4,-290.8752
US-2015-150659,C00001007,20 June 2021,Standard Class,Corporate,OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,142.86,1,0,41.4294
US-2015-150660,C00000269,07 January 2023,Same Day,Consumer,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,29.7,3,0,8.019
US-2015-150661,C00000860,29 January 2020,Standard Class,Corporate,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,7.4,2,0,3.034
US-2015-150662,C00000439,13 December 2021,Standard Class,Consumer,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",545.85,9,0,114.6285
US-2015-150663,C00000799,05 May 2021,Standard Class,Home Office,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,187.98,2,0,52.6344
US-2015-150664,C00000383,16 June 2020,Standard Class,Home Office,OFF-BI-10003166,Office Supplies,Binders,GBC Plasticlear Binding Covers,10.332,3,0.7,-7.5768
US-2015-150665,C00000215,11 March 2019,Second Class,Consumer,FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,225.296,2,0.2,22.5296
US-2015-150666,C00000370,07 June 2020,Same Day,Home Office,FUR-FU-10000305,Furniture,Furnishings,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",113.568,2,0.2,-5.6784
US-2015-150667,C00000502,11 August 2023,First Class,Corporate,OFF-EN-10004773,Office Supplies,Envelopes,Staple envelope,74.352,3,0.2,26.9526
US-2015-150668,C00000305,22 August 2022,Standard Class,Consumer,OFF-LA-10000476,Office Supplies,Labels,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",12.39,3,0,5.6994
US-2015-150669,C00001012,08 June 2023,Standard Class,Consumer,FUR-CH-10003606,Furniture,Chairs,SAFCO Folding Chair Trolley,102.592,1,0.2,10.2592
US-2015-150670,C00000361,21 November 2020,Second Class,Consumer,FUR-CH-10004495,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",240.784,1,0.2,27.0882
US-2015-150671,C00001013,21 November 2022,Standard Class,Corporate,OFF-BI-10004233,Office Supplies,Binders,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",63.96,4,0,30.7008
US-2015-150672,C00000812,05 October 2020,First Class,Consumer,OFF-ST-10002444,Office Supplies,Storage,Recycled Eldon Regeneration Jumbo File,39.296,4,0.2,3.9296
US-2015-150673,C00000360,12 April 2022,Standard Class,Corporate,OFF-PA-10000533,Office Supplies,Paper,Southworth Parchment Paper & Envelopes,20.928,4,0.2,6.8016
US-2015-150674,C00000813,29 January 2020,Standard Class,Consumer,FUR-BO-10000711,Furniture,Bookcases,"Hon Metal Bookcases, Gray",638.82,9,0,172.4814
US-2015-150675,C00000162,23 January 2022,Second Class,Home Office,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,896.328,9,0.2,22.4082
US-2015-150676,C00000616,07 April 2021,Standard Class,Consumer,TEC-PH-10002834,Technology,Phones,Google Nexus 5,323.982,3,0.4,-80.9955
US-2015-150677,C00000767,15 October 2022,First Class,Consumer,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",40.44,3,0,10.5144
US-2015-150678,C00000971,06 August 2019,Second Class,Corporate,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",77.55,5,0,21.714
US-2015-150679,C00000322,16 August 2022,Standard Class,Home Office,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",11.76,2,0,5.7624
US-2015-150680,C00000970,27 September 2021,Second Class,Consumer,TEC-PH-10003885,Technology,Phones,Cisco SPA508G,39.594,1,0.4,-7.2589
US-2015-150681,C00000681,24 May 2019,Standard Class,Consumer,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1317.492,6,0.1,292.776
US-2015-150682,C00000882,02 May 2019,First Class,Corporate,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",638.82,9,0,185.2578
US-2015-150683,C00000665,07 June 2020,Second Class,Consumer,OFF-PA-10001307,Office Supplies,Paper,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",12.6,3,0,6.174
US-2015-150684,C00000312,14 March 2020,First Class,Corporate,OFF-ST-10000918,Office Supplies,Storage,Crate-A-Files,26.16,3,0.2,1.962
US-2015-150685,C00001026,09 September 2019,Second Class,Corporate,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,49.568,2,0.2,17.3488
US-2015-150686,C00000216,10 July 2020,Standard Class,Consumer,OFF-PA-10000241,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",92.94,3,0,41.823
US-2015-150687,C00000793,23 September 2023,Standard Class,Home Office,OFF-AR-10000940,Office Supplies,Art,Newell 343,14.7,5,0,3.969
US-2015-150688,C00000965,16 January 2019,First Class,Consumer,FUR-BO-10003546,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,424.116,6,0.3,-30.294
US-2015-150689,C00000343,01 August 2021,Second Class,Home Office,OFF-AP-10001394,Office Supplies,Appliances,Harmony Air Purifier,850.5,5,0.1,245.7
US-2015-150690,C00001007,28 August 2021,Standard Class,Consumer,FUR-FU-10004053,Furniture,Furnishings,DAX Two-Tone Silver Metal Document Frame,16.192,2,0.6,-6.8816
US-2015-150691,C00000017,02 March 2023,First Class,Consumer,TEC-PH-10004434,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,271.9,2,0,78.851
US-2015-150692,C00000574,11 October 2022,Second Class,Consumer,OFF-PA-10002787,Office Supplies,Paper,Xerox 227,12.96,2,0,6.2208
US-2015-150693,C00000371,20 April 2021,Standard Class,Consumer,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,161.568,2,0.2,-28.2744
US-2015-150694,C00000432,26 August 2021,Same Day,Consumer,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,5.193,3,0.7,-3.462
US-2015-150695,C00000073,19 July 2020,Second Class,Corporate,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,1.824,1,0.7,-1.3984
US-2015-150696,C00000752,28 August 2023,Second Class,Corporate,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,313.722,3,0.4,-99.3453
US-2015-150697,C00000068,14 November 2020,Second Class,Corporate,OFF-PA-10001125,Office Supplies,Paper,Xerox 1988,173.488,7,0.2,54.215
US-2015-150698,C00000002,09 September 2019,Standard Class,Corporate,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,1403.92,5,0.2,70.196
US-2015-150699,C00000847,23 July 2020,First Class,Consumer,OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils,4.89,1,0,2.0049
US-2015-150700,C00000616,24 May 2022,Standard Class,Home Office,OFF-ST-10004507,Office Supplies,Storage,Advantus Rolling Storage Box,51.45,3,0,13.8915
US-2015-150701,C00000821,14 August 2021,Standard Class,Consumer,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,166.44,3,0,79.8912
US-2015-150702,C00001004,26 March 2022,Standard Class,Consumer,FUR-FU-10002597,Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",7.904,2,0.2,2.1736
US-2015-150703,C00000003,02 July 2021,Standard Class,Consumer,OFF-PA-10000726,Office Supplies,Paper,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",9.11,1,0,4.0995
US-2015-150704,C00000107,26 February 2020,Standard Class,Consumer,OFF-SU-10002573,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",122.71,7,0,36.813
US-2015-150705,C00000300,03 August 2019,Standard Class,Home Office,OFF-PA-10001815,Office Supplies,Paper,Xerox 1885,192.16,4,0,92.2368
US-2015-150706,C00000741,21 November 2019,Standard Class,Consumer,OFF-AP-10001242,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,32.192,2,0.8,-80.48
US-2015-150707,C00000703,26 July 2021,Standard Class,Home Office,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",12.224,2,0.2,4.4312
US-2015-150708,C00000560,01 June 2020,Standard Class,Consumer,TEC-MA-10001972,Technology,Machines,Okidata C331dn Printer,418.8,2,0.4,-97.72
US-2015-150709,C00000976,18 September 2019,Standard Class,Corporate,OFF-AR-10003056,Office Supplies,Art,Newell 341,21.4,5,0,6.206
US-2015-150710,C00000870,14 March 2019,Standard Class,Consumer,OFF-AR-10000657,Office Supplies,Art,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",10.75,5,0,3.5475
US-2015-150711,C00000769,31 May 2023,Standard Class,Consumer,OFF-BI-10004001,Office Supplies,Binders,GBC Recycled VeloBinder Covers,153.36,9,0,70.5456
US-2015-150712,C00000566,17 July 2022,Standard Class,Corporate,OFF-ST-10004950,Office Supplies,Storage,Acco Perma 3000 Stacking Storage Drawers,41.96,2,0,7.9724
US-2015-150713,C00000246,22 December 2021,Second Class,Consumer,OFF-PA-10004971,Office Supplies,Paper,Xerox 196,11.56,2,0,5.6644
US-2015-150714,C00000510,15 October 2020,Standard Class,Corporate,FUR-BO-10004360,Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,160.98,1,0,20.9274
US-2015-150715,C00000223,13 April 2019,Standard Class,Consumer,FUR-TA-10002774,Furniture,Tables,Laminate Occasional Tables,863.128,8,0.3,-160.2952
US-2015-150716,C00000601,16 April 2023,Standard Class,Consumer,OFF-FA-10003495,Office Supplies,Fasteners,Staples,30.4,5,0,15.2
US-2015-150717,C00000544,29 July 2021,Standard Class,Consumer,OFF-BI-10003984,Office Supplies,Binders,Lock-Up Easel 'Spel-Binder',8.559,1,0.7,-6.5619
US-2015-150718,C00000016,16 June 2022,Second Class,Corporate,TEC-PH-10000193,Technology,Phones,Jensen SMPS-640 - speaker phone,110.352,3,0.2,8.2764
US-2015-150719,C00000068,07 February 2022,Second Class,Consumer,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,12.42,3,0,5.2164
US-2015-150720,C00000003,12 October 2022,Standard Class,Consumer,OFF-FA-10003485,Office Supplies,Fasteners,Staples,18.864,9,0.2,6.1308
US-2015-150721,C00000934,01 January 2021,First Class,Consumer,TEC-AC-10002018,Technology,Accessories,AmazonBasics 3-Button USB Wired Mouse,16.776,3,0.2,4.8231
US-2015-150722,C00000628,23 July 2022,Same Day,Home Office,TEC-PH-10001198,Technology,Phones,Avaya 4621SW VoIP phone,177.48,3,0.2,19.9665
US-2015-150723,C00000962,15 July 2021,Second Class,Home Office,OFF-AP-10001626,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",7.78,2,0,2.0228
US-2015-150724,C00000083,23 October 2022,Standard Class,Corporate,TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",5199.96,4,0,1351.9896
US-2015-150725,C00000388,18 March 2022,Standard Class,Corporate,OFF-PA-10003848,Office Supplies,Paper,Xerox 1997,25.92,4,0,12.4416
US-2015-150726,C00000838,16 February 2022,Standard Class,Consumer,TEC-PH-10001644,Technology,Phones,"BlueLounge Milo Smartphone Stand, White/Metallic",149.95,5,0,41.986
US-2015-150727,C00000613,04 March 2022,Standard Class,Corporate,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,17.3,1,0,8.304
US-2015-150728,C00000350,01 December 2020,First Class,Home Office,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,114.848,4,0.2,35.89
US-2015-150729,C00000787,12 September 2023,Standard Class,Consumer,OFF-PA-10003302,Office Supplies,Paper,Xerox 1906,106.32,3,0,49.9704
US-2015-150730,C00000276,27 June 2020,Same Day,Consumer,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,4.448,2,0.2,1.112
US-2015-150731,C00000718,02 February 2021,Standard Class,Consumer,OFF-PA-10003395,Office Supplies,Paper,Xerox 1941,335.52,4,0.2,117.432
US-2015-150732,C00000048,15 November 2020,Standard Class,Consumer,OFF-SU-10004737,Office Supplies,Supplies,Acme Design Stainless Steel Bent Scissors,41.04,6,0,11.0808
US-2015-150733,C00000128,03 August 2021,Standard Class,Consumer,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,340.92,3,0,3.4092
US-2015-150734,C00000079,29 August 2023,Same Day,Consumer,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,79.96,5,0.2,7.996
US-2015-150735,C00000534,28 January 2019,Second Class,Home Office,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0,580.5394
US-2015-150736,C00000365,12 February 2023,Standard Class,Consumer,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,3.282,2,0.7,-2.6256
US-2015-150737,C00000767,01 August 2022,Standard Class,Home Office,FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",203.983,2,0.15,16.7986
US-2015-150738,C00000411,29 March 2021,Standard Class,Corporate,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,83.984,2,0.2,31.494
US-2015-150739,C00000280,28 October 2022,Same Day,Home Office,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,671.984,2,0.2,50.3988
US-2015-150740,C00000548,27 October 2020,Second Class,Consumer,OFF-BI-10004040,Office Supplies,Binders,Wilson Jones Impact Binders,5.18,5,0.8,-8.029
US-2015-150741,C00000456,29 December 2022,Standard Class,Consumer,TEC-PH-10001299,Technology,Phones,Polycom CX300 Desktop Phone USB VoIP phone,239.984,2,0.2,23.9984
US-2015-150742,C00000743,21 September 2023,Standard Class,Consumer,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",161.568,2,0.2,10.098
US-2015-150743,C00000293,28 June 2023,Standard Class,Consumer,FUR-FU-10002088,Furniture,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,14.368,2,0.2,3.9512
US-2015-150744,C00000413,18 January 2023,First Class,Consumer,TEC-PH-10003963,Technology,Phones,GE 2-Jack Phone Line Splitter,617.97,3,0,160.6722
US-2015-150745,C00000398,11 October 2022,Standard Class,Consumer,FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14""",77.952,3,0.2,15.5904
US-2015-150746,C00000520,06 December 2021,First Class,Corporate,OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,14.016,4,0.2,4.9056
US-2015-150747,C00000191,15 June 2021,Standard Class,Consumer,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,1.188,1,0.8,-1.9602
US-2015-150748,C00000825,18 March 2019,Second Class,Consumer,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,7.764,4,0.7,-5.176
US-2015-150749,C00000640,07 August 2019,Standard Class,Home Office,TEC-PH-10002200,Technology,Phones,Aastra 6757i CT Wireless VoIP phone,689.408,4,0.2,77.5584
US-2015-150750,C00000716,31 January 2022,Second Class,Consumer,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,715.2,3,0,178.8
