Order ID,Client ID,Order Date,Segment,Product ID,Product Name,Sales,Quantity
US-2015-153407,C00000065,"Wednesday, January 1, 2020",Corporate,OFF-AR-10003056,Newell 341,8.56,2
US-2015-156816,C00000386,"Wednesday, January 1, 2020",Corporate,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,6.528,4
US-2015-159785,C00000372,"Wednesday, January 1, 2020",Corporate,TEC-MA-10004552,Star Micronics TSP100 TSP143LAN Receipt Printer,1035.8,4
US-2015-152704,C00000060,"Thursday, January 2, 2020",Consumer,OFF-BI-10002824,Recycled Easel Ring Binders,13.428,3
US-2015-154483,C00000915,"Thursday, January 2, 2020",Consumer,OFF-AP-10001205,Belkin 5 Outlet SurgeMaster Power Centers,272.4,5
US-2015-155841,C00000382,"Thursday, January 2, 2020",Corporate,TEC-PH-10004071,PayAnywhere Card Reader,15.984,2
US-2015-157510,C00000143,"Thursday, January 2, 2020",Home Office,FUR-TA-10001039,KI Adjustable-Height Table,154.764,3
US-2015-153169,C00000830,"Friday, January 3, 2020",Consumer,OFF-ST-10001172,"Tennsco Lockers, Sand",33.568,2
US-2015-153834,C00000759,"Friday, January 3, 2020",Consumer,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",383.607,9
US-2015-159928,C00000262,"Friday, January 3, 2020",Corporate,FUR-FU-10003981,Eldon Wave Desk Accessories,4.992,3
US-2015-151392,C00000852,"Saturday, January 4, 2020",Consumer,TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,4899.93,7
US-2015-154485,C00000557,"Saturday, January 4, 2020",Corporate,OFF-AR-10003338,"Eberhard Faber 3 1/2"" Golf Pencils",22.32,3
US-2015-156012,C00001030,"Saturday, January 4, 2020",Corporate,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,339.96,4
US-2015-157046,C00000684,"Saturday, January 4, 2020",Home Office,OFF-AR-10003770,Newell 340,17.28,6
US-2015-158209,C00000721,"Saturday, January 4, 2020",Corporate,OFF-PA-10001363,Xerox 1933,85.96,7
US-2015-158402,C00000100,"Saturday, January 4, 2020",Consumer,TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,223.96,5
US-2015-159198,C00001016,"Saturday, January 4, 2020",Consumer,OFF-ST-10004950,Acco Perma 3000 Stacking Storage Drawers,62.94,3
US-2015-159908,C00000212,"Saturday, January 4, 2020",Consumer,OFF-SU-10001574,Acme Value Line Scissors,7.3,2
US-2015-152187,C00001050,"Sunday, January 5, 2020",Consumer,OFF-BI-10004140,Avery Non-Stick Binders,14.368,4
US-2015-152625,C00000189,"Sunday, January 5, 2020",Corporate,FUR-FU-10001185,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",247.44,8
US-2015-153040,C00001046,"Sunday, January 5, 2020",Consumer,FUR-FU-10004415,"Stacking Tray, Side-Loading, Legal, Smoke",8.96,2
US-2015-153713,C00000081,"Sunday, January 5, 2020",Consumer,FUR-CH-10003846,Hon Valutask Swivel Chairs,272.646,3
US-2015-155215,C00000193,"Sunday, January 5, 2020",Corporate,FUR-CH-10004477,"Global Push Button Manager's Chair, Indigo",182.67,3
US-2015-155730,C00000087,"Sunday, January 5, 2020",Consumer,OFF-BI-10002852,Ibico Standard Transparent Covers,49.44,3
US-2015-159985,C00000040,"Sunday, January 5, 2020",Consumer,OFF-ST-10003470,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",1676.88,6
US-2015-150737,C00000767,"Monday, January 6, 2020",Home Office,FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",203.983,2
US-2015-151354,C00000211,"Monday, January 6, 2020",Consumer,OFF-SU-10003505,Premier Electric Letter Opener,185.376,2
US-2015-153519,C00000788,"Monday, January 6, 2020",Consumer,TEC-PH-10001079,Polycom SoundPoint Pro SE-225 Corded phone,118.99,1
US-2015-154527,C00000569,"Monday, January 6, 2020",Consumer,OFF-BI-10003476,Avery Metallic Poly Binders,32.088,7
US-2015-156238,C00000791,"Monday, January 6, 2020",Consumer,TEC-MA-10004626,Lexmark 20R1285 X6650 Wireless All-in-One Printer,480,4
US-2015-158600,C00000290,"Monday, January 6, 2020",Corporate,OFF-AR-10000940,Newell 343,16.464,7
US-2015-158716,C00000351,"Monday, January 6, 2020",Home Office,TEC-PH-10004447,Toshiba IPT2010-SD IP Telephone,222.384,2
US-2015-159314,C00000147,"Monday, January 6, 2020",Consumer,FUR-CH-10002961,"Leather Task Chair, Black",363.92,5
US-2015-159325,C00000103,"Monday, January 6, 2020",Home Office,OFF-BI-10004040,Wilson Jones Impact Binders,4.144,4
US-2015-159867,C00000833,"Monday, January 6, 2020",Home Office,OFF-PA-10004609,Xerox 221,6.48,1
US-2015-160457,C00000918,"Monday, January 6, 2020",Consumer,OFF-BI-10002026,Avery Arch Ring Binders,17.43,1
US-2015-160458,C00000316,"Monday, January 6, 2020",Consumer,FUR-CH-10003846,Hon Valutask Swivel Chairs,161.568,2
US-2015-151577,C00000897,"Tuesday, January 7, 2020",Corporate,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3
US-2015-152918,C00000424,"Tuesday, January 7, 2020",Corporate,OFF-SU-10004261,"Fiskars 8"" Scissors, 2/Pack",41.376,3
US-2015-155834,C00000827,"Tuesday, January 7, 2020",Consumer,FUR-FU-10003919,Eldon Executive Woodline II Cherry Finish Desk Accessories,32.712,2
US-2015-159100,C00000787,"Tuesday, January 7, 2020",Corporate,OFF-AR-10001860,BIC Liqua Brite Liner,34.7,5
US-2015-159935,C00000217,"Tuesday, January 7, 2020",Consumer,OFF-AP-10004708,Fellowes Superior 10 Outlet Split Surge Protector,15.224,2
US-2015-150703,C00000003,"Wednesday, January 8, 2020",Consumer,OFF-PA-10000726,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",9.11,1
US-2015-151541,C00000716,"Wednesday, January 8, 2020",Home Office,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",55.48,1
US-2015-152169,C00000721,"Wednesday, January 8, 2020",Consumer,FUR-TA-10001768,Hon Racetrack Conference Tables,210.008,1
US-2015-154914,C00000128,"Wednesday, January 8, 2020",Home Office,TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,54.384,2
US-2015-156011,C00000326,"Wednesday, January 8, 2020",Consumer,OFF-FA-10000053,Revere Boxed Rubber Bands by Revere,5.67,3
US-2015-156947,C00000243,"Wednesday, January 8, 2020",Consumer,FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",211.246,2
US-2015-157216,C00000103,"Wednesday, January 8, 2020",Consumer,TEC-AC-10001109,Logitech Trackman Marble Mouse,71.976,3
US-2015-159136,C00000162,"Wednesday, January 8, 2020",Home Office,OFF-PA-10000357,Xerox 1888,166.44,3
US-2015-159576,C00000888,"Wednesday, January 8, 2020",Corporate,FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",257.64,6
US-2015-159579,C00000692,"Wednesday, January 8, 2020",Home Office,TEC-PH-10000702,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",7.992,1
US-2015-154002,C00000238,"Thursday, January 9, 2020",Home Office,OFF-ST-10001370,Sensible Storage WireTech Storage Systems,70.98,1
US-2015-157401,C00000146,"Thursday, January 9, 2020",Consumer,FUR-CH-10004675,"Lifetime Advantage Folding Chairs, 4/Carton",763.28,5
US-2015-160354,C00000454,"Thursday, January 9, 2020",Corporate,FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",221.382,2
US-2015-160472,C00000331,"Thursday, January 9, 2020",Consumer,TEC-AC-10004396,Logitech Keyboard K120,72.6,5
US-2015-151496,C00000757,"Friday, January 10, 2020",Consumer,OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",30.87,7
US-2015-153370,C00000508,"Friday, January 10, 2020",Consumer,OFF-AR-10003045,Prang Colored Pencils,14.7,5
US-2015-153562,C00000010,"Friday, January 10, 2020",Consumer,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,153.78,11
